full text,summary,LLM json,LLM summary json,model,time
"❗️Власти смогут запрашивать у бизнеса данные по любому поводу. Минцифры разработало проект распоряжения правительства, перечисляющий случаи, когда власти могут запрашивать у бизнеса обезличенные персональные данные клиентов и сотрудников, узнал Forbes. Документ детализирует принятый в августе закон, предполагающий создание «гососзера» данных — государственной информационной системы (ГИС). По мнению компаний, положения документа позволяют запрашивать у бизнеса, который понесет значительные расходы на обезличивание и сетует на потенциальную непрозрачность запросов, данные в любых случаях. При этом остаются риски того, что можно будет определить принадлежность информации конкретному человеку","Власти смогут запрашивать у бизнеса данные по любому поводу. Минцифры разработало проект распоряжения правительства, детализирующий случаи запроса обезличенных персональных данных для создания госсозера данных. Компании опасаются значительных расходов на обезличивание и непрозрачности запросов, а также риска определения принадлежности данных конкретному человеку.","```json
{
  ""text"": ""❗️Власти смогут запрашивать у бизнеса данные по любому поводу. Минцифры разработало проект распоряжения правительства, перечисляющий случаи, когда власти могут запрашивать у бизнеса обезличенные персональные данные клиентов и сотрудников, узнал Forbes. Документ детализирует принятый в августе закон, предполагающий создание «гососзера» данных — государственной информационной системы (ГИС). По мнению компаний, положения документа позволяют запрашивать у бизнеса, который понесет значительные расходы на обезличивание и сетует на потенциальную непрозрачность запросов, данные в любых случаях. При этом остаются риски того, что можно будет определить принадлежность информации конкретному человеку"",
  ""entities"": [
    {
      ""entity"": ""Власти"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""бизнеса"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""Минцифры"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""распоряжения правительства"",
      ""types"": [""DOCUMENT""]
    },
    {
      ""entity"": ""власти"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""бизнеса"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""обезличенные персональные данные клиентов и сотрудников"",
      ""types"": [""DATA""]
    },
    {
      ""entity"": ""Forbes"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""Документ"",
      ""types"": [""DOCUMENT""]
    },
    {
      ""entity"": ""принятый в августе закон"",
      ""types"": [""LAW""]
    },
    {
      ""entity"": ""гососзера"",
      ""types"": [""SYSTEM""]
    },
    {
      ""entity"": ""государственной информационной системы (ГИС)"",
      ""types"": [""SYSTEM""]
    },
    {
      ""entity"": ""компаний"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""документа"",
      ""types"": [""DOCUMENT""]
    },
    {
      ""entity"": ""бизнеса"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""человеку"",
      ""types"": [""PERSON""]
    }
  ]
}
```","```json
{
  ""text"": ""Власти смогут запрашивать у бизнеса данные по любому поводу. Минцифры разработало проект распоряжения правительства, детализирующий случаи запроса обезличенных персональных данных для создания госсозера данных. Компании опасаются значительных расходов на обезличивание и непрозрачности запросов, а также риска определения принадлежности данных конкретному человеку."",
  ""entities"": [
    {""entity"": ""Власти"", ""types"": [""Organization""]},
    {""entity"": ""бизнеса"", ""types"": [""Organization""]},
    {""entity"": ""Минцифры"", ""types"": [""Organization""]},
    {""entity"": ""правительства"", ""types"": [""Organization"", ""Government""]},
    {""entity"": ""госсозера данных"", ""types"": [""Organization"", ""Database""]},
    {""entity"": ""Компании"", ""types"": [""Organization""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:50:46
"В Черкесске произошел взрыв газа в пятиэтажном жилом доме, погибли два человека, по предварительным данным, семеро пострадали, пишет ТАСС. В МЧС пока подтвердили гибель одного человека, из дома эвакуировали около 50 жителей. Из-за взрыва газа возбуждено уголовное дело","Взрыв газа в пятиэтажном доме в Черкесске привел к гибели двух человек, семерых пострадали. МЧС подтвердило гибель одного человека, эвакуировано около 50 жителей. Возбуждено уголовное дело.","```json
{
  ""text"": ""В Черкесске произошел взрыв газа в пятиэтажном жилом доме, погибли два человека, по предварительным данным, семеро пострадали, пишет ТАСС. В МЧС пока подтвердили гибель одного человека, из дома эвакуировали около 50 жителей. Из-за взрыва газа возбуждено уголовное дело"",
  ""entities"": [
    {""entity"": ""Черкесске"", ""types"": [""Location""]},
    {""entity"": ""взрыв газа"", ""types"": [""Event""]},
    {""entity"": ""пятиэтажном жилом доме"", ""types"": [""Building""]},
    {""entity"": ""два человека"", ""types"": [""PersonCount""]},
    {""entity"": ""семеро"", ""types"": [""PersonCount""]},
    {""entity"": ""ТАСС"", ""types"": [""Organization""]},
    {""entity"": ""МЧС"", ""types"": [""Organization""]},
    {""entity"": ""одного человека"", ""types"": [""PersonCount""]},
    {""entity"": ""50 жителей"", ""types"": [""PersonCount""]},
    {""entity"": ""уголовное дело"", ""types"": [""LegalAction""]}
  ]
}
```","```json
{
  ""text"": ""Взрыв газа в пятиэтажном доме в Черкесске привел к гибели двух человек, семерых пострадали. МЧС подтвердило гибель одного человека, эвакуировано около 50 жителей. Возбуждено уголовное дело."",
  ""entities"": [
    {""entity"": ""Взрыв газа"", ""types"": [""Event""]},
    {""entity"": ""пятиэтажном доме"", ""types"": [""Building""]},
    {""entity"": ""Черкесске"", ""types"": [""Location""]},
    {""entity"": ""двух человек"", ""types"": [""Person"", ""Count""]},
    {""entity"": ""семерых"", ""types"": [""Count""]},
    {""entity"": ""МЧС"", ""types"": [""Organization""]},
    {""entity"": ""одного человека"", ""types"": [""Person"", ""Count""]},
    {""entity"": ""50 жителей"", ""types"": [""Count"", ""Person""]},
    {""entity"": ""уголовное дело"", ""types"": [""Legal""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:51:39
"На программу семейной ипотеки выделены дополнительные 350 млрд рублей, процесс распределения этого лимита уже запущен, сообщили в пресс-службе оператора программы «Дом.РФ». 30 октября о приостановке выдачи кредитов по программе семейной ипотеки из-за исчерпания лимитов сообщили ВТБ и Сбербанк","На программу семейной ипотеки выделены дополнительные 350 млрд рублей. Процесс распределения этого лимита уже запущен, сообщили в пресс-службе оператора программы «Дом.РФ». 30 октября ВТБ и Сбербанк сообщили о приостановке выдачи кредитов по программе семейной ипотеки из-за исчерпания лимитов.","```json
{
  ""text"": ""На программу семейной ипотеки выделены дополнительные 350 млрд рублей, процесс распределения этого лимита уже запущен, сообщили в пресс-службе оператора программы «Дом.РФ». 30 октября о приостановке выдачи кредитов по программе семейной ипотеки из-за исчерпания лимитов сообщили ВТБ и Сбербанк"",
  ""entities"": [
    {""entity"": ""программу семейной ипотеки"", ""types"": [""program""]},
    {""entity"": ""350 млрд рублей"", ""types"": [""money""]},
    {""entity"": ""пресс-службе оператора программы «Дом.РФ»"", ""types"": [""organization""]},
    {""entity"": ""Дом.РФ"", ""types"": [""organization""]},
    {""entity"": ""30 октября"", ""types"": [""date""]},
    {""entity"": ""ВТБ"", ""types"": [""organization""]},
    {""entity"": ""Сбербанк"", ""types"": [""organization""]}
  ]
}
```","```json
{
  ""text"": ""На программу семейной ипотеки выделены дополнительные 350 млрд рублей. Процесс распределения этого лимита уже запущен, сообщили в пресс-службе оператора программы «Дом.РФ». 30 октября ВТБ и Сбербанк сообщили о приостановке выдачи кредитов по программе семейной ипотеки из-за исчерпания лимитов."",
  ""entities"": [
    {""entity"": ""семейной ипотеки"", ""types"": [""Program""]},
    {""entity"": ""350 млрд рублей"", ""types"": [""Currency""]},
    {""entity"": ""Дом.РФ"", ""types"": [""Organization""]},
    {""entity"": ""30 октября"", ""types"": [""Date""]},
    {""entity"": ""ВТБ"", ""types"": [""Organization"", ""Bank""]},
    {""entity"": ""Сбербанк"", ""types"": [""Organization"", ""Bank""]},
    {""entity"": ""семейной ипотеки"", ""types"": [""Program""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:52:36
"Рейтинг уверенности российских застройщиков — 2024

Forbes публикует новый рейтинг уверенности российских застройщиков. 

От экспертов сервисов Циан и Dataflat мы получили данные о продажах застройщиков. По показателям продаж за весь 2023 год и первую половину 2024 года составили лонг-листы: топ-20 участников для сегмента «массовое жилье» (классы «стандарт» и «комфорт») и по 10 для сегментов «бизнес» и «премиум».  Компании оцениваются по двум критериям: доход и портфель, им присвоен одинаковый вес (0,5). Доход:  продажи в 2023 году (вес 0,3); в первом полугодии 2024 года (вес 0,3); рост продаж в первом полугодии 2024-го по отношению к первому полугодию 2023-го (вес 0,4).  Портфель:  площадь объектов на стадии строительства на 30 сентября 2024 года (вес 0,2); нераспроданные площади (вес 0,2); отношение нераспроданных метров к метрам в стройке (чем меньше, тем лучше, вес 0,2); площади новых проектов, запущенных в 2024 году (вес 0,4). 

 В рейтинг попали 10 компаний сегмента массового жилья и по пять компаний сегментов «бизнес» и «премиум», набравших наивысшие баллы.  Всем участникам рейтинга было предложено заполнить анкеты. Если компания не раскрыла информацию о себе, для оценки продаж мы опирались на цифры Циан и Dataflat. 

Данные о текущем объеме застройки предоставлены Единым ресурсом застройщиков (ЕРЗ). Информация о количестве нераспроданных метров получена из Единой информационной системы жилищного строительства (ЕИСЖС). Сведения о проектах, запущенных в 2024 году, предоставлены аналитиками ЕРЗ.

Кто вошел в рейтинг уверенности российских застройщиков — читайте на сайте Forbes","Forbes published a new ranking of the confidence of Russian developers, based on data from Cian and Dataflat. The ranking includes top-20 developers for the ""mass housing"" segment and top-10 for the ""business"" and ""premium"" segments. Companies were evaluated based on revenue and portfolio, each weighted equally at 0.5. Revenue criteria include sales in 2023 (0.3), first half of 2024 (0.3), and growth in the first half of 2024 compared to the first half of 2023 (0.4). Portfolio criteria include the area of objects under construction as of September 30, 2024 (0.2), unsold area (0.2), the ratio of unsold area to area under construction (0.2), and the area of new projects launched in 2024 (0.4). The ranking includes the top 10 companies in the mass housing segment and the top 5 in the business and premium segments. Data on current construction volume was provided by the Unified Resource of Developers (EPS), unsold area data from the Unified Information System of Housing Construction (EISHS), and information on projects launched in 2024 by EPS analysts.","```json
{
  ""text"": ""Рейтинг уверенности российских застройщиков — 2024\n\nForbes публикует новый рейтинг уверенности российских застройщиков.\n\nОт экспертов сервисов Циан и Dataflat мы получили данные о продажах застройщиков. По показателям продаж за весь 2023 год и первую половину 2024 года составили лонг-листы: топ-20 участников для сегмента «массовое жилье» (классы «стандарт» и «комфорт») и по 10 для сегментов «бизнес» и «премиум». Компании оцениваются по двум критериям: доход и портфель, им присвоен одинаковый вес (0,5). Доход: продажи в 2023 году (вес 0,3); в первом полугодии 2024 года (вес 0,3); рост продаж в первом полугодии 2024-го по отношению к первому полугодию 2023-го (вес 0,4). Портфель: площадь объектов на стадии строительства на 30 сентября 2024 года (вес 0,2); нераспроданные площади (вес 0,2); отношение нераспроданных метров к метрам в стройке (чем меньше, тем лучше, вес 0,2); площади новых проектов, запущенных в 2024 году (вес 0,4).\n\n В рейтинг попали 10 компаний сегмента массового жилья и по пять компаний сегментов «бизнес» и «премиум», набравших наивысшие баллы. Всем участникам рейтинга было предложено заполнить анкеты. Если компания не раскрыла информацию о себе, для оценки продаж мы опирались на цифры Циан и Dataflat.\n\nДанные о текущем объеме застройки предоставлены Единым ресурсом застройщиков (ЕРЗ). Информация о количестве нераспроданных метров получена из Единой информационной системы жилищного строительства (ЕИСЖС). Сведения о проектах, запущенных в 2024 году, предоставлены аналитиками ЕРЗ.\n\nКто вошел в рейтинг уверенности российских застройщиков — читайте на сайте Forbes"",
  ""entities"": [
    {""entity"": ""Рейтинг уверенности российских застройщиков — 2024"", ""types"": [""Title"", ""Event""]},
    {""entity"": ""Forbes"", ""types"": [""Organization"", ""Media""]},
    {""entity"": ""Циан"", ""types"": [""Organization"", ""Service""]},
    {""entity"": ""Dataflat"", ""types"": [""Organization"", ""Service""]},
    {""entity"": ""2023 год"", ""types"": [""Date""]},
    {""entity"": ""2024 год"", ""types"": [""Date""]},
    {""entity"": ""30 сентября 2024 года"", ""types"": [""Date""]},
    {""entity"": ""Единый ресурс застройщиков"", ""types"": [""Organization""]},
    {""entity"": ""ЕРЗ"", ""types"": [""Organization""]},
    {""entity"": ""Единая информационная система жилищного строительства"", ""types"": [""Organization""]},
    {""entity"": ""ЕИСЖС"", ""types"": [""Organization""]}
  ]
}
```","```json
{
  ""text"": ""Forbes published a new ranking of the confidence of Russian developers, based on data from Cian and Dataflat. The ranking includes top-20 developers for the \""mass housing\"" segment and top-10 for the \""business\"" and \""premium\"" segments. Companies were evaluated based on revenue and portfolio, each weighted equally at 0.5. Revenue criteria include sales in 2023 (0.3), first half of 2024 (0.3), and growth in the first half of 2024 compared to the first half of 2023 (0.4). Portfolio criteria include the area of objects under construction as of September 30, 2024 (0.2), unsold area (0.2), the ratio of unsold area to area under construction (0.2), and the area of new projects launched in 2024 (0.4). The ranking includes the top 10 companies in the mass housing segment and the top 5 in the business and premium segments. Data on current construction volume was provided by the Unified Resource of Developers (EPS), unsold area data from the Unified Information System of Housing Construction (EISHS), and information on projects launched in 2024 by EPS analysts."",
  ""entities"": [
    {""entity"": ""Forbes"", ""types"": [""Organization""]},
    {""entity"": ""Russian developers"", ""types"": [""Organization""]},
    {""entity"": ""Cian"", ""types"": [""Organization""]},
    {""entity"": ""Dataflat"", ""types"": [""Organization""]},
    {""entity"": ""mass housing"", ""types"": [""Housing Segment""]},
    {""entity"": ""business"", ""types"": [""Housing Segment""]},
    {""entity"": ""premium"", ""types"": [""Housing Segment""]},
    {""entity"": ""Unified Resource of Developers (EPS)"", ""types"": [""Organization""]},
    {""entity"": ""Unified Information System of Housing Construction (EISHS)"", ""types"": [""Organization""]},
    {""entity"": ""EPS analysts"", ""types"": [""Organization""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:54:31
"Согласно данным опроса руководителей IT-направлений крупнейших российских компаний, который провел разработчик ПО Orion soft, 62% таких бизнесов сталкиваются с проблемой несовместимости решений при обеспечении совместной работы отечественных и зарубежных программных продуктов. При этом для половины респондентов основным стимулом внедрять российские решения по-прежнему остаются внешние обстоятельства — уход западных вендоров из страны и давление регуляторов. 

«Западные вендоры десятки лет формировали партнерскую сеть совместимых решений, функциональность которых дополняла друг друга. От российских продуктов заказчики сегодня ждут того же. Поэтому для вендоров в приоритет выходят технологические коллаборации — они помогают быстрее достичь той планки качества, которую установили иностранные разработчики», — говорит директор по развитию бизнеса Orion soft Максим Березин 

📸: Oli Scarff / Getty Images","62% крупнейших российских компаний сталкиваются с несовместимостью отечественных и зарубежных программных продуктов. Половина респондентов внедряет российские решения из-за ухода западных вендоров и давления регуляторов. Заказчики ожидают от российских продуктов совместимости и функциональности, как у западных. Вендоры приоритизируют технологические коллаборации для достижения высокого качества.","```json
{
  ""text"": ""Согласно данным опроса руководителей IT-направлений крупнейших российских компаний, который провел разработчик ПО Orion soft, 62% таких бизнесов сталкиваются с проблемой несовместимости решений при обеспечении совместной работы отечественных и зарубежных программных продуктов. При этом для половины респондентов основным стимулом внедрять российские решения по-прежнему остаются внешние обстоятельства — уход западных вендоров из страны и давление регуляторов. «Западные вендоры десятки лет формировали партнерскую сеть совместимых решений, функциональность которых дополняла друг друга. От российских продуктов заказчики сегодня ждут того же. Поэтому для вендоров в приоритет выходят технологические коллаборации — они помогают быстрее достичь той планки качества, которую установили иностранные разработчики», — говорит директор по развитию бизнеса Orion soft Максим Березин. 📸: Oli Scarff / Getty Images"",
  ""entities"": [
    {""entity"": ""Orion soft"", ""types"": [""organization""]},
    {""entity"": ""Максим Березин"", ""types"": [""person""]},
    {""entity"": ""Oli Scarff"", ""types"": [""person""]},
    {""entity"": ""Getty Images"", ""types"": [""organization""]}
  ]
}
```","```json
{
  ""text"": ""62% крупнейших российских компаний сталкиваются с несовместимостью отечественных и зарубежных программных продуктов. Половина респондентов внедряет российские решения из-за ухода западных вендоров и давления регуляторов. Заказчики ожидают от российских продуктов совместимости и функциональности, как у западных. Вендоры приоритизируют технологические коллаборации для достижения высокого качества."",
  ""entities"": [
    {""entity"": ""62% крупнейших российских компаний"", ""types"": [""Percentage"", ""Organization""]},
    {""entity"": ""российских компаний"", ""types"": [""Organization""]},
    {""entity"": ""отечественных и зарубежных программных продуктов"", ""types"": [""Product""]},
    {""entity"": ""отечественных"", ""types"": [""Product""]},
    {""entity"": ""зарубежных программных продуктов"", ""types"": [""Product""]},
    {""entity"": ""Половина респондентов"", ""types"": [""Percentage""]},
    {""entity"": ""российские решения"", ""types"": [""Product""]},
    {""entity"": ""западных вендоров"", ""types"": [""Organization""]},
    {""entity"": ""регуляторов"", ""types"": [""Organization""]},
    {""entity"": ""Заказчики"", ""types"": [""Organization""]},
    {""entity"": ""российских продуктов"", ""types"": [""Product""]},
    {""entity"": ""западных"", ""types"": [""Product""]},
    {""entity"": ""Вендоры"", ""types"": [""Organization""]},
    {""entity"": ""технологические коллаборации"", ""types"": [""Concept""]},
    {""entity"": ""высокого качества"", ""types"": [""Concept""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:56:03
"Российские власти сообщили об атаке «беспилотников-камикадзе» ВСУ на порт Бердянска в Запорожской области. В результате не менее трех человек с ранениями доставлены в больницы. Украинские власти сообщили о взрыве в девятиэтажном жилом доме при атаке на Харьков, в результате которого погиб ребенок и 35 человек были ранены. Минобороны России утром 31 октября об ударах российских Вооруженных сил по украинским городам не сообщало","Российские власти сообщили об атаке беспилотников ВСУ на порт Бердянска, в результате которой пострадали не менее трех человек. Украинские власти сообщили о взрыве в жилом доме в Харькове, где погиб ребенок и 35 человек получили ранения. Минобороны России не сообщало об ударах по украинским городам утром 31 октября.","```json
{
  ""text"": ""Российские власти сообщили об атаке «беспилотников-камикадзе» ВСУ на порт Бердянска в Запорожской области. В результате не менее трех человек с ранениями доставлены в больницы. Украинские власти сообщили о взрыве в девятиэтажном жилом доме при атаке на Харьков, в результате которого погиб ребенок и 35 человек были ранены. Минобороны России утром 31 октября об ударах российских Вооруженных сил по украинским городам не сообщало"",
  ""entities"": [
    {""entity"": ""Российские власти"", ""types"": [""ORGANIZATION""]},
    {""entity"": ""«беспилотников-камикадзе»"", ""types"": [""WEAPON""]},
    {""entity"": ""ВСУ"", ""types"": [""ORGANIZATION""]},
    {""entity"": ""порт Бердянска"", ""types"": [""LOCATION""]},
    {""entity"": ""Запорожская область"", ""types"": [""LOCATION""]},
    {""entity"": ""Украинские власти"", ""types"": [""ORGANIZATION""]},
    {""entity"": ""Харьков"", ""types"": [""LOCATION""]},
    {""entity"": ""Минобороны России"", ""types"": [""ORGANIZATION""]},
    {""entity"": ""31 октября"", ""types"": [""DATE""]},
    {""entity"": ""российских Вооруженных сил"", ""types"": [""ORGANIZATION""]},
    {""entity"": ""украинским городам"", ""types"": [""LOCATION""]}
  ]
}
```","```json
{
  ""text"": ""Российские власти сообщили об атаке беспилотников ВСУ на порт Бердянска, в результате которой пострадали не менее трех человек. Украинские власти сообщили о взрыве в жилом доме в Харькове, где погиб ребенок и 35 человек получили ранения. Минобороны России не сообщало об ударах по украинским городам утром 31 октября."",
  ""entities"": [
    {""entity"": ""Российские власти"", ""types"": [""ORGANIZATION"", ""GOVERNMENT""]},
    {""entity"": ""ВСУ"", ""types"": [""ORGANIZATION"", ""MILITARY""]},
    {""entity"": ""порт Бердянска"", ""types"": [""LOCATION""]},
    {""entity"": ""Украинские власти"", ""types"": [""ORGANIZATION"", ""GOVERNMENT""]},
    {""entity"": ""жилом доме"", ""types"": [""LOCATION""]},
    {""entity"": ""Харькове"", ""types"": [""LOCATION""]},
    {""entity"": ""ребенок"", ""types"": [""PERSON""]},
    {""entity"": ""35 человек"", ""types"": [""QUANTITY""]},
    {""entity"": ""Минобороны России"", ""types"": [""ORGANIZATION"", ""GOVERNMENT""]},
    {""entity"": ""украинским городам"", ""types"": [""LOCATION""]},
    {""entity"": ""31 октября"", ""types"": [""DATE""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:57:08
"Российские ученые обучили ИИ точнее распознавать неизвестные объекты на фото

Ученые из лаборатории исследований искусственного интеллекта T-Bank AI Research совместно со студентами Университета МИСИС и МФТИ разработали новый метод, который помогает ИИ точнее распознавать на фотографиях ранее неизвестные ему объекты. 

Открытие было представлено на Международной конференции по обработке изображений (IEEE ICIP) в Абу-Даби в конце октября 2024 года — это одна из крупнейших научных конференций, посвященных обработке изображений и видео, а также компьютерному зрению.

Риск ошибки при обработке и анализе изображений снизился более чем на 20%, что уменьшает необходимость перепроверки и исправления неверных решений человеком. В перспективе метод поможет развить сферу беспилотных транспортных средств и медицинской диагностики, рассчитывают в Т-Банке. 

Подробности на сайте

📸: Analytics Vidhya","Russian scientists developed a new method for AI to more accurately recognize unknown objects in photos. The method was presented at the International Conference on Image Processing in Abu Dhabi in October 2024. It reduces the error rate in image processing by over 20%, minimizing human intervention. The method has potential applications in autonomous vehicles and medical diagnostics.","```json
{
  ""text"": ""Российские ученые обучили ИИ точнее распознавать неизвестные объекты на фото Ученые из лаборатории исследований искусственного интеллекта T-Bank AI Research совместно со студентами Университета МИСИС и МФТИ разработали новый метод, который помогает ИИ точнее распознавать на фотографиях ранее неизвестные ему объекты. Открытие было представлено на Международной конференции по обработке изображений (IEEE ICIP) в Абу-Даби в конце октября 2024 года — это одна из крупнейших научных конференций, посвященных обработке изображений и видео, а также компьютерному зрению. Риск ошибки при обработке и анализе изображений снизился более чем на 20%, что уменьшает необходимость перепроверки и исправления неверных решений человеком. В перспективе метод поможет развить сферу беспилотных транспортных средств и медицинской диагностики, рассчитывают в Т-Банке. Подробности на сайте 📸: Analytics Vidhya"",
  ""entities"": [
    {
      ""entity"": ""Российские ученые"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""ИИ"",
      ""types"": [""TECHNOLOGY""]
    },
    {
      ""entity"": ""лаборатории исследований искусственного интеллекта"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""T-Bank AI Research"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""Университета МИСИС"",
      ""types"": [""ORGANIZATION"", ""EDUCATIONAL_INSTITUTION""]
    },
    {
      ""entity"": ""МФТИ"",
      ""types"": [""ORGANIZATION"", ""EDUCATIONAL_INSTITUTION""]
    },
    {
      ""entity"": ""Международной конференции по обработке изображений"",
      ""types"": [""EVENT""]
    },
    {
      ""entity"": ""IEEE ICIP"",
      ""types"": [""EVENT""]
    },
    {
      ""entity"": ""Абу-Даби"",
      ""types"": [""LOCATION""]
    },
    {
      ""entity"": ""октябре 2024 года"",
      ""types"": [""DATE""]
    },
    {
      ""entity"": ""беспилотных транспортных средств"",
      ""types"": [""TECHNOLOGY""]
    },
    {
      ""entity"": ""медицинской диагностики"",
      ""types"": [""MEDICAL""]
    },
    {
      ""entity"": ""Т-Банке"",
      ""types"": [""ORGANIZATION""]
    },
    {
      ""entity"": ""Analytics Vidhya"",
      ""types"": [""ORGANIZATION""]
    }
  ]
}
```","```json
{
  ""text"": ""Russian scientists developed a new method for AI to more accurately recognize unknown objects in photos. The method was presented at the International Conference on Image Processing in Abu Dhabi in October 2024. It reduces the error rate in image processing by over 20%, minimizing human intervention. The method has potential applications in autonomous vehicles and medical diagnostics."",
  ""entities"": [
    {""entity"": ""Russian"", ""types"": [""NATIONALITY""]},
    {""entity"": ""scientists"", ""types"": [""OCCUPATION""]},
    {""entity"": ""AI"", ""types"": [""TECHNOLOGY""]},
    {""entity"": ""International Conference on Image Processing"", ""types"": [""EVENT""]},
    {""entity"": ""Abu Dhabi"", ""types"": [""LOCATION""]},
    {""entity"": ""October 2024"", ""types"": [""DATE""]},
    {""entity"": ""image processing"", ""types"": [""TECHNOLOGY""]},
    {""entity"": ""autonomous vehicles"", ""types"": [""TECHNOLOGY""]},
    {""entity"": ""medical diagnostics"", ""types"": [""MEDICAL FIELD""]}
  ]
}
```",mistral-large-latest,2024-10-31 20:58:13
"Северная Корея запустила межконтинентальную баллистическую ракету в направлении Японского моря, сообщают южнокорейские военные. По их данным, речь может идти об испытании новой твердотопливной баллистической ракеты большой дальности. Это первый пуск подобной ракеты за год",,,,,
"Ушла эпоха безудержного роста «человейников»: Forbes опубликовал рейтинг застройщиков

Рынок нового жилья, вероятно, еще очень долго не будет прежним — с всплесками ажиотажного спроса, быстрым обогащением девелоперов и безудержным ростом цен. Но рейтинг уверенных девелоперов 2024 года отражает именно такие реалии, поскольку его ключевые показатели — это суммарные продажи 2023 года и первой половины 2024 года. 

В этот раз в сегменте массового жилья с огромным отрывом победила ГК «Самолет» за счет лучшей динамики продаж и масштабного ввода новых проектов, а прежний лидер ГК ПИК сократила темпы строительства и заняла второе место. ГК ПИК с выручкой 556 млрд рублей, крупнейший по этому показателю застройщик страны, запустила в 2024 году 407 000 кв. м новых проектов (данные Единого ресурса застройщиков). Для сравнения: ГК «Точно» из Краснодара с выручкой 19 млрд рублей — 484 000 кв. м. 

Новые проекты сыграли ключевую роль и в распределении мест в премиальном сегменте. Прошлогодний победитель Vesper, оставивший рынок без новинок, оказался за пределами топ-5. Лидер этого года Sminex завоевал первое место за счет портфеля новых проектов. 

После повышения ключевой ставки и отмены большей части программ льготной ипотеки новых «человейников» по всей стране вырастет меньше. 

Новый рейтинг уверенности российских застройщиков — на сайте Forbes 

📸: Виктория Вотоновская / ТАСС",,,,,
"Власти смогут запрашивать у бизнеса данные по любому поводу

Forbes ознакомился с проектом распоряжения правительства, определяющего случаи формирования составов данных, которые бизнес должен передавать в «гососзеро». С документом и его положениями также знаком источник Forbes в Минэкономразвития.

Так, власти смогут запрашивать у бизнеса обезличенные персональные данные клиентов и сотрудников, если они понадобятся для «защиты населения и территорий» — в случае угрозы возникновения чрезвычайной ситуации на всей территории страны или ее части.

В документе указано также, что власти смогут требовать данные у бизнеса для предупреждения терроризма в случае введения режима контртеррористической операции, а также для предупреждения распространения инфекционных заболеваний и отравлений, если будет введен карантин.

По мнению компаний, положения документа позволяют запрашивать у бизнеса, который понесет значительные расходы на обезличивание и сетует на потенциальную непрозрачность запросов, данные в любых случаях. При этом остаются риски того, что можно будет определить принадлежность информации конкретному человеку

📸: Getty Images",,,,,
